               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02059,            0.005118,                   0,              0.9624,             0.90764,             0.94961,             0.70101,            0.020094,           0.0041285,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021363,           0.0054966,                   0,             0.96938,             0.90764,              0.9467,             0.71776,            0.018929,           0.0040429,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020182,           0.0053553,                   0,             0.97269,             0.90756,             0.95271,             0.72071,             0.01884,           0.0039967,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020633,           0.0053922,                   0,             0.96949,             0.91076,             0.94857,             0.71284,            0.019218,           0.0039943,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020349,           0.0051793,                   0,             0.96279,             0.91083,             0.94354,             0.72638,            0.018355,           0.0039573,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.02057,           0.0053769,                   0,             0.97288,             0.91397,             0.94714,             0.72464,            0.018432,           0.0039682,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020391,           0.0054923,                   0,             0.96584,             0.90446,              0.9434,             0.71541,            0.019032,           0.0039829,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020332,           0.0054314,                   0,             0.96618,             0.91401,             0.94762,             0.71713,            0.018641,           0.0039833,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020075,           0.0051481,                   0,             0.97288,             0.91381,             0.94952,             0.71623,             0.01914,           0.0039888,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019548,           0.0051624,                   0,              0.9698,             0.92034,              0.9474,             0.72651,            0.018634,           0.0039744,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019539,           0.0052274,                   0,             0.96636,             0.92038,             0.94932,             0.72925,             0.01856,            0.003968,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01875,           0.0049167,                   0,             0.97627,             0.91703,             0.94919,             0.72657,            0.018623,           0.0039657,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019925,           0.0047625,                   0,             0.97618,             0.91401,             0.94819,             0.72787,            0.018341,           0.0039671,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019687,           0.0051197,                   0,             0.97273,             0.91083,             0.94968,              0.7172,            0.018768,            0.003944,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019734,           0.0052561,                   0,             0.97279,             0.91076,             0.94967,             0.72188,            0.018524,           0.0039327,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.01878,           0.0047797,                   0,             0.96927,             0.90446,             0.94763,             0.72619,            0.018272,           0.0039253,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018255,           0.0050222,                   0,             0.95376,             0.92038,             0.94673,             0.72404,            0.018434,           0.0039412,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019027,           0.0051065,                   0,             0.96939,             0.90756,             0.94752,             0.73436,            0.018009,           0.0039157,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017919,           0.0049658,                   0,             0.95724,             0.92672,              0.9522,             0.73206,             0.01812,           0.0038979,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017944,           0.0051539,                   0,              0.9697,             0.91717,             0.95263,             0.72569,            0.018111,            0.003888,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018611,           0.0049959,                   0,              0.9571,             0.92355,              0.9529,             0.72891,            0.017863,            0.003865,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018115,           0.0048226,                   0,             0.96882,             0.91401,             0.95258,             0.72505,            0.017998,           0.0038828,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018229,           0.0048243,                   0,             0.96026,             0.92356,             0.95258,             0.72163,            0.018076,           0.0038862,                   0,            0.000298,            0.000298,            0.000298
